zBAO			sigHz
5.000000000000000278e-02 1.209999999999999964e+01
1.499999999999999944e-01 4.660000000000000142e+00
2.500000000000000000e-01 2.970000000000000195e+00
3.499999999999999778e-01 2.439999999999999947e+00
4.500000000000000111e-01 3.689999999999999947e+00
6.500000000000000222e-01 1.500000000000000000e+00
7.500000000000000000e-01 1.270000000000000018e+00
8.499999999999999778e-01 1.219999999999999973e+00
9.499999999999999556e-01 1.219999999999999973e+00
1.050000000000000044e+00 1.370000000000000107e+00
1.149999999999999911e+00 1.389999999999999902e+00
1.250000000000000000e+00 1.389999999999999902e+00
1.350000000000000089e+00 2.020000000000000018e+00
1.449999999999999956e+00 2.129999999999999893e+00
1.550000000000000044e+00 2.520000000000000018e+00
1.649999999999999911e+00 3.799999999999999822e+00
1.750000000000000000e+00 6.299999999999999822e+00
1.850000000000000089e+00 6.389999999999999680e+00
